t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,mean_throughput,stdv_throughput,optimal_point,optimal_error,adaptive_point,adaptive_error,ar_point,ar_error
27473.0,37315.0,35913.0,18135.0,22878.0,34038.0,29007.0,21473.0,31709.0,29134.0,22065.0,16094.0,14623.0,26236.0,28677.0,25156.8,5658.569203134894,7,3.41,3.0,45.54,7.0,18.15
28569.0,37370.0,35390.0,16402.0,24758.0,31303.0,32069.0,32557.0,31296.0,26645.0,31723.0,22440.0,23730.0,28107.0,22574.0,26354.9,5083.580236736048,5,8.06,3.0,38.04,7.0,10.41
31993.0,36004.0,18077.0,19164.0,25343.0,25523.0,32004.0,31061.0,33837.0,30175.0,32027.0,28760.0,31260.0,26397.0,30392.0,27071.233333333334,4966.713894741897,4,2.81,4.0,31.22,6.0,10.0
30143.0,36975.0,25186.0,12437.0,17177.0,18177.0,29796.0,14947.0,29086.0,21110.0,23696.0,25727.0,19694.0,20114.0,21198.0,23130.0,5119.199104026592,5,0.81,6.0,23.58,6.0,18.77
31489.0,33887.0,22747.0,27136.0,18366.0,16708.0,30576.0,32745.0,26472.0,20961.0,19977.0,32082.0,27967.0,33016.0,28574.0,27721.266666666666,4392.843194206787,4,3.94,2.0,17.92,9.0,4.03
30367.0,36312.0,28572.0,18344.0,16435.0,28273.0,22764.0,31912.0,32833.0,31142.0,28524.0,26361.0,31481.0,34126.0,22326.0,27268.1,5112.75406116899,4,4.15,9.0,18.72,10.0,2.04
31333.0,37123.0,22835.0,18332.0,31660.0,29081.0,27970.0,31385.0,33710.0,29285.0,19014.0,31089.0,23628.0,30916.0,28520.0,25026.033333333333,6113.977954836132,4,9.51,6.0,21.36,6.0,9.77
29953.0,35123.0,24842.0,25538.0,18557.0,23618.0,34153.0,26798.0,31319.0,20683.0,31215.0,29493.0,33483.0,31299.0,29261.0,26427.7,5101.153981535289,4,9.22,4.0,4.68,6.0,13.49
30240.0,37217.0,28670.0,16228.0,13319.0,18203.0,18484.0,18905.0,13188.0,21083.0,12873.0,20648.0,31279.0,29638.0,23798.0,25348.0,6684.92921428492,5,5.88,7.0,27.63,7.0,27.79
30024.0,36494.0,29586.0,22009.0,24353.0,33509.0,25702.0,27314.0,31930.0,25636.0,29262.0,26997.0,26695.0,30382.0,30299.0,26328.066666666666,4568.607248993456,5,6.77,8.0,0.68,8.0,8.46
31120.0,37377.0,31082.0,17716.0,24491.0,18587.0,14201.0,16068.0,12186.0,21269.0,26940.0,25581.0,28259.0,32995.0,28759.0,24486.333333333332,5870.898939306957,6,6.2,12.0,7.25,8.0,29.82
28829.0,37060.0,31511.0,25215.0,26907.0,27854.0,32414.0,27645.0,19939.0,22636.0,19886.0,19721.0,23534.0,29131.0,29523.0,24756.3,5108.857831583625,9,8.91,5.0,5.27,6.0,21.13
30604.0,37366.0,24534.0,12543.0,24216.0,30890.0,35138.0,36824.0,29090.0,27509.0,27476.0,32895.0,31691.0,34674.0,33538.0,27101.3,6105.706566538115,4,3.1,8.0,32.76,10.0,6.15
