t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,mean_throughput,stdv_throughput,optimal_point,optimal_error,adaptive_point,adaptive_error,ar_point,ar_error
27829.20704,49587.15904,49041.89952,27273.46176,24798.8224,16546.52928,21705.5232,34414.26432,41387.29472,32474.39872,34791.75168,33994.83392,25081.93792,28856.81152,28825.35424,31354.86907733334,7329.912099053471,6,6.19,3,57.28,11.0,5.96
37801.1648,45801.79968,36553.35936,17154.70336,18790.48192,27650.94912,35735.47008,38566.62528,26927.43168,22387.0976,16525.55776,31352.4224,1080.03328,29360.128,51935.96928,25075.995989333336,14745.257926203705,6,0.15,5,28.33,17.0,22.34
10024.38656,40359.69024,42037.41184,36647.7312,1845.49376,12876.51328,8996.78208,11691.6224,45392.85504,30408.704,24400.36352,38996.54144,15256.7808,25386.02496,11251.22048,19974.67374933333,14694.508750640849,9,1.18,3,106.25,10.0,36.9
26539.45856,19419.62752,14050.9184,25679.62624,51506.05312,33827.06176,17658.01984,8975.81056,22481.46944,22041.06752,22397.58336,34372.32128,24400.36352,28689.03936,32222.74048,24530.386943999994,8393.665679743106,12,3.23,10,9.25,10.0,2.97
28028.43648,46672.11776,44407.1936,37580.96384,25186.79552,19346.2272,2055.20896,7423.91808,19021.16864,27357.34784,21999.12448,27535.60576,24851.2512,17311.98976,28426.89536,23459.44132266667,9450.982855106113,12,2.21,3,94.12,13.0,11.82
3795.84512,1048.576,1698.69312,39405.48608,47510.97856,42362.4704,39185.28512,18926.7968,8084.52096,18119.39328,34623.97952,46839.88992,31530.68032,7927.23456,12928.94208,20333.636266666665,16703.470777068895,10,3.67,7,100.52,26.0,26.99
29297.21344,38199.62368,31394.36544,37958.4512,35693.52704,34697.37984,39688.6016,43411.0464,39457.91488,27546.09152,20992.49152,29590.81472,29915.87328,28573.696,39604.71552,29977.38973866667,11230.367012567107,11,9.59,5,22.85,4.0,15.26
27514.63424,48381.29664,41177.57952,34236.0064,24631.05024,19314.76992,22429.04064,34865.152,31069.30688,36448.50176,38986.05568,36752.5888,27357.34784,19545.45664,22858.9568,32016.87005866667,6707.110728232228,6,6.8,11,17.8,9.0,3.58
7958.69184,8535.40864,0.0,34487.66464,56507.76064,35032.92416,25700.59776,21957.18144,30807.16288,41513.12384,41523.6096,36186.35776,16326.32832,10601.10336,35630.61248,24219.65892266667,15554.558543290595,5,2.74,2,65.95,12.0,45.28
37801.1648,48465.18272,45770.3424,22942.84288,13558.08768,15435.03872,29873.93024,35462.84032,36857.4464,27692.89216,32306.62656,36951.81824,27021.80352,20919.0912,28552.72448,30181.862058666666,7740.541575262619,5,8.29,3,56.11,19.0,2.09
35305.55392,41764.78208,42981.13024,40170.94656,31687.96672,26329.74336,11985.22368,32075.93984,35735.47008,31226.59328,34886.12352,32841.40032,41806.72512,40800.09216,18916.31104,31840.35976533333,6838.743609761339,11,5.15,3,33.08,4.0,35.82
28510.78144,49062.87104,45036.3392,31289.50784,14889.7792,14271.11936,6647.97184,12687.7696,25669.14048,35284.5824,27839.6928,33418.11712,27042.77504,25931.28448,24641.536,25230.136661333334,8865.477742168228,6,4.52,3,86.48,14.0,6.36
36626.75968,50908.3648,39048.97024,43253.76,28395.43808,16557.01504,26445.08672,21862.8096,33701.23264,18224.25088,39290.14272,47552.9216,41544.58112,19230.88384,12394.16832,24995.954688,16989.2155612415,8,6.72,30,13.31,13.0,42.7
19702.74304,45686.45632,44983.9104,34582.03648,16588.47232,6710.8864,51023.70816,47731.17952,37717.27872,16378.75712,9867.10016,16242.44224,19094.56896,24222.1056,35630.61248,27710.018901333337,11823.280823348867,6,7.19,3,63.61,9.0,31.23
33711.7184,43526.38976,45235.56864,44207.96416,35861.2992,38388.36736,30618.4192,17364.41856,22879.92832,30796.67712,29255.2704,36825.98912,43369.10336,29884.416,25616.71168,32568.421034666662,7005.566773786812,8,6.17,3,36.27,4.0,39.94
22670.21312,39541.80096,47552.9216,45004.88192,23236.44416,9521.07008,9961.472,11943.28064,16357.7856,21349.00736,23865.58976,30052.18816,29391.58528,24484.2496,21831.35232,24229.79515733333,8469.456789120733,7,9.49,4,91.0,11.0,4.69
