t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,mean_throughput,stdv_throughput,optimal_point,optimal_error,adaptive_point,adaptive_error,ar_point,ar_error
1400.0,21917.0,33775.0,33743.0,33871.0,33873.0,29545.0,11156.0,11499.0,13106.0,28190.0,27450.0,29665.0,31886.0,32468.0,25368.266666666666,8444.565328988554,8,6.87,4.0,33.08,5.0,42.75
1443.0,21740.0,34488.0,32218.0,31092.0,33461.0,31341.0,9486.0,6262.0,9799.0,16487.0,24363.0,28726.0,31858.0,28700.0,22111.966666666667,9428.498022779426,4,1.63,4.0,50.84,5.0,56.26
1436.0,22073.0,34671.0,35088.0,34096.0,34990.0,30929.0,17824.0,21890.0,24300.0,24021.0,25728.0,29355.0,25459.0,30084.0,25972.5,7927.106860849885,9,1.68,4.0,34.29,5.0,46.01
1406.0,22057.0,35033.0,35630.0,34998.0,35517.0,28314.0,15190.0,22932.0,32769.0,32836.0,32354.0,33510.0,31743.0,30831.0,27266.033333333333,9297.053086805996,8,4.54,4.0,29.58,5.0,41.78
1400.0,21842.0,33859.0,34495.0,34260.0,34758.0,30876.0,14756.0,14579.0,14866.0,12877.0,16173.0,22340.0,29303.0,34729.0,23960.733333333334,8084.0105390552,4,4.43,4.0,42.64,5.0,55.28
1384.0,22000.0,35557.0,35930.0,35202.0,33682.0,23495.0,6361.0,9430.0,11822.0,28025.0,34281.0,32727.0,26325.0,17821.0,22729.2,10720.468865368404,4,4.35,4.0,57.26,5.0,71.96
1419.0,22539.0,34949.0,35005.0,34711.0,33526.0,30200.0,11241.0,10826.0,5966.0,17428.0,30466.0,34875.0,34214.0,26148.0,23228.366666666665,10588.442244520937,4,1.07,4.0,50.58,5.0,62.03
1366.0,21846.0,34418.0,34019.0,30523.0,30331.0,29970.0,19637.0,12396.0,15573.0,28933.0,31345.0,33441.0,33907.0,25564.0,26056.033333333333,7236.414445857991,8,5.98,4.0,31.33,6.0,27.18
1376.0,17359.0,30820.0,32504.0,29608.0,30453.0,30718.0,24709.0,15353.0,27008.0,32380.0,31761.0,31784.0,32575.0,32198.0,26953.233333333334,7555.544391078353,5,2.3,4.0,17.47,6.0,19.03
1224.0,17396.0,32278.0,30052.0,32440.0,32226.0,34228.0,22111.0,18020.0,24545.0,29158.0,34058.0,33756.0,30665.0,34222.0,27165.633333333335,7964.845595838978,5,3.22,4.0,14.72,5.0,20.8
1493.0,21992.0,33405.0,35563.0,35718.0,33031.0,26686.0,9913.0,13899.0,13902.0,26038.0,28850.0,29984.0,31584.0,22173.0,24830.5,9293.312515818387,4,6.92,4.0,38.88,5.0,55.34
1410.0,21724.0,34507.0,34315.0,33695.0,33495.0,31764.0,22970.0,27039.0,34357.0,31175.0,32909.0,28885.0,24643.0,26154.0,26490.8,7341.544535041656,9,8.78,4.0,29.9,5.0,39.87
1419.0,21829.0,36466.0,34256.0,34540.0,35187.0,29830.0,14679.0,22431.0,27744.0,32921.0,34316.0,32406.0,33315.0,33449.0,26943.933333333334,8125.687933680174,8,5.99,4.0,31.24,5.0,37.36
1334.0,17647.0,34319.0,36240.0,34623.0,32172.0,34098.0,14818.0,22463.0,27677.0,32086.0,30266.0,25592.0,25410.0,27391.0,26855.033333333333,7975.842043250913,8,7.72,4.0,31.37,7.0,30.24
1409.0,21902.0,35356.0,36036.0,35598.0,33903.0,27815.0,10198.0,10498.0,7657.0,11035.0,20670.0,29868.0,31519.0,30368.0,22202.666666666668,8731.880741792624,4,6.63,4.0,60.77,5.0,76.92
1420.0,21615.0,33819.0,31427.0,31649.0,28075.0,30045.0,16904.0,10767.0,19392.0,30980.0,32697.0,33940.0,30842.0,23478.0,25400.866666666665,7403.504079075589,8,4.99,4.0,28.43,5.0,32.43
675.0,13985.0,31304.0,31949.0,33816.0,35377.0,32553.0,19935.0,10047.0,11883.0,21553.0,31747.0,32551.0,30284.0,28596.0,25172.7,7875.624953614793,9,2.76,4.0,25.64,5.0,46.88
1414.0,21686.0,33249.0,34105.0,31867.0,34751.0,30219.0,17505.0,16414.0,14921.0,23078.0,24302.0,28372.0,29732.0,29969.0,24332.933333333334,6967.075325813232,4,7.07,4.0,38.4,6.0,39.31
1456.0,22005.0,34412.0,35160.0,31964.0,31719.0,25311.0,12375.0,10625.0,20496.0,33251.0,35054.0,33921.0,25904.0,21686.0,26323.433333333334,8012.823362932415,8,3.73,4.0,32.15,6.0,30.68
1386.0,21624.0,34856.0,35212.0,34728.0,34624.0,24939.0,12785.0,23359.0,33948.0,34677.0,32578.0,25451.0,22329.0,30618.0,26864.433333333334,9124.727918074537,8,0.36,4.0,30.41,5.0,42.49
1706.0,15833.0,31188.0,31756.0,33967.0,35137.0,34223.0,18479.0,17877.0,22103.0,30871.0,33580.0,33588.0,24621.0,25994.0,26818.033333333333,7465.641193643198,5,5.1,4.0,17.35,5.0,34.72
1405.0,21894.0,34168.0,34821.0,35429.0,34893.0,29195.0,11336.0,17011.0,21699.0,28460.0,30434.0,33467.0,32959.0,28061.0,26571.2,7463.843591608816,8,4.3,4.0,29.82,5.0,41.61
1447.0,20545.0,30858.0,32492.0,31294.0,30952.0,24218.0,18614.0,18009.0,26684.0,30585.0,31572.0,30971.0,32344.0,32843.0,27071.033333333333,6788.017189544791,5,6.38,4.0,17.01,5.0,29.32
1417.0,21732.0,35325.0,36022.0,34784.0,35510.0,29192.0,13214.0,17599.0,24018.0,27677.0,31234.0,31758.0,30268.0,28496.0,27042.233333333334,8346.372643982668,8,4.19,4.0,31.92,6.0,36.17
1416.0,22466.0,35137.0,34963.0,34212.0,33650.0,29460.0,17688.0,21453.0,30330.0,32710.0,34055.0,35407.0,31797.0,29384.0,27265.466666666667,9130.836758783696,8,5.45,4.0,28.55,5.0,37.99
1425.0,21808.0,34741.0,35640.0,34503.0,34761.0,29192.0,10214.0,10235.0,8653.0,22186.0,31514.0,30683.0,32005.0,25600.0,24416.9,8599.76024995271,4,4.15,4.0,44.12,5.0,58.86
529.0,13122.0,28929.0,30847.0,29669.0,30205.0,30945.0,26455.0,13444.0,11785.0,18113.0,28907.0,32898.0,31087.0,28028.0,23161.166666666668,8323.434331585864,9,9.07,4.0,29.04,6.0,39.54
1393.0,21749.0,33534.0,34383.0,35246.0,32920.0,28749.0,12090.0,17801.0,24518.0,28529.0,28513.0,29136.0,29649.0,31587.0,26909.333333333332,7372.089972019845,8,1.27,4.0,26.2,5.0,37.81
1049.0,17510.0,28897.0,30314.0,32210.0,32767.0,33390.0,21723.0,21289.0,33169.0,33471.0,32237.0,33755.0,32764.0,32148.0,26584.733333333334,7588.8098449112695,5,2.44,4.0,11.36,5.0,26.21
1410.0,22090.0,35727.0,35415.0,33902.0,34365.0,26784.0,17004.0,22486.0,28939.0,31002.0,25467.0,27507.0,31291.0,30808.0,26862.1,7134.058664135959,8,4.29,4.0,32.42,6.0,33.84
1385.0,21572.0,32366.0,34849.0,35287.0,34773.0,29757.0,14807.0,20039.0,28663.0,29183.0,29271.0,32391.0,34137.0,32084.0,27283.6,8276.800096655712,8,5.03,4.0,23.18,4.0,52.1
1390.0,21798.0,33304.0,34285.0,33973.0,33729.0,29610.0,16095.0,23034.0,31986.0,33227.0,32065.0,32709.0,26155.0,25064.0,27277.733333333334,8423.85347266255,8,3.94,4.0,23.89,5.0,35.34
1135.0,21254.0,35231.0,35974.0,35536.0,33511.0,27042.0,8976.0,17491.0,28097.0,33400.0,33965.0,32271.0,24823.0,22196.0,26545.033333333333,7775.059650289222,8,1.05,4.0,34.12,5.0,48.7
1233.0,15700.0,28973.0,30375.0,31334.0,33728.0,33721.0,26955.0,22781.0,23608.0,29144.0,33246.0,33482.0,33804.0,23504.0,27015.333333333332,7343.86496032951,5,1.55,4.0,9.84,5.0,28.27
1436.0,21116.0,34867.0,35954.0,34585.0,34480.0,29794.0,16456.0,20797.0,31288.0,34082.0,35239.0,29735.0,21815.0,22187.0,26466.666666666668,7645.24855638382,8,8.92,4.0,33.79,6.0,38.77
1087.0,20261.0,29876.0,32147.0,33730.0,34509.0,29484.0,15991.0,18754.0,26072.0,30716.0,32234.0,31961.0,28616.0,26047.0,26389.2,7158.99132746134,5,9.91,4.0,17.52,4.0,41.23
1372.0,21800.0,34968.0,33482.0,32670.0,34452.0,29958.0,9958.0,12105.0,20556.0,27714.0,29098.0,27346.0,28028.0,25319.0,24139.633333333335,7604.289773907592,4,5.11,4.0,41.78,5.0,49.24
1178.0,19107.0,31992.0,33779.0,32317.0,33518.0,30456.0,14563.0,11036.0,16161.0,21792.0,30542.0,34389.0,28224.0,23916.0,23999.133333333335,8025.566392196601,9,6.69,4.0,37.03,6.0,43.59
1425.0,21659.0,32740.0,32810.0,32330.0,34239.0,34469.0,20915.0,24301.0,31763.0,32677.0,35408.0,32042.0,26112.0,24788.0,27133.433333333334,9166.804683870068,9,4.97,4.0,20.79,5.0,29.25
1406.0,21726.0,34919.0,35202.0,35521.0,34781.0,27379.0,12363.0,16868.0,26760.0,30664.0,29626.0,30984.0,28688.0,20323.0,26689.7,7335.921487902298,8,3.08,4.0,31.36,5.0,43.22
1260.0,17339.0,29769.0,30559.0,34250.0,35199.0,32374.0,15596.0,15097.0,15776.0,29047.0,33940.0,32020.0,29251.0,19485.0,25711.233333333334,7500.129041926916,5,8.82,4.0,17.32,5.0,31.92
1335.0,21080.0,31869.0,32662.0,35312.0,35726.0,31700.0,16160.0,18278.0,29581.0,33092.0,34687.0,33395.0,27905.0,30507.0,27213.233333333334,9145.79299890878,8,9.23,4.0,18.57,5.0,28.74
1415.0,21441.0,33475.0,35078.0,34936.0,35158.0,28531.0,11028.0,15114.0,21957.0,29966.0,33883.0,35699.0,32515.0,24559.0,25634.9,8668.713477596699,8,6.94,4.0,33.71,5.0,48.99
1442.0,21657.0,34313.0,34910.0,34410.0,34007.0,28559.0,12881.0,15710.0,19698.0,28293.0,29273.0,30573.0,26891.0,22969.0,25929.2,7014.935169099333,8,5.92,4.0,33.48,5.0,46.02
1397.0,22106.0,36556.0,34160.0,31495.0,30226.0,26886.0,14977.0,8883.0,12735.0,26224.0,32436.0,29663.0,23954.0,16790.0,23036.333333333332,7438.296697198596,4,2.25,4.0,53.49,13.0,23.54
1254.0,18921.0,31302.0,33738.0,31522.0,32462.0,32304.0,15663.0,20406.0,31057.0,30784.0,26336.0,25891.0,29266.0,31794.0,27109.3,7586.338370825985,5,6.5,4.0,19.96,6.0,24.62
