t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,mean_throughput,stdv_throughput,optimal_point,optimal_error,adaptive_point,adaptive_error,ar_point,ar_error
9290.38336,10297.01632,10422.84544,9342.81216,9342.81216,9604.95616,9416.21248,9216.98304,9531.55584,9825.15712,8755.6096,8671.72352,9269.41184,8388.608,356.51584,8441.386325333333,2592.8063690712306,12,8.94,3,22.73,6.0,16.74
9248.44032,2264.92416,4760.53504,8503.95136,10276.0448,9468.64128,8388.608,10863.24736,9720.29952,9248.44032,9636.41344,9353.29792,9437.184,9143.58272,9594.4704,8966.373376000001,1585.3076274338196,6,7.96,6,10.1,7.0,19.4
9248.44032,10401.87392,10066.3296,10076.81536,9216.98304,9730.78528,9636.41344,8849.98144,9909.0432,9342.81216,9405.72672,8891.92448,8818.52416,9237.95456,4875.8784,6504.666453333334,3545.15087351308,16,3.36,3,57.33,4.0,55.98
9521.07008,9667.87072,10611.58912,8178.8928,3072.32768,3019.89888,2684.35456,5033.1648,1342.17728,2348.81024,8420.06528,9279.8976,11282.67776,9510.58432,9311.35488,7904.5154133333335,2765.5584327242896,5,0.28,2,21.38,14.0,9.68
9657.38496,9311.35488,8566.86592,4204.78976,11062.4768,10034.87232,9521.07008,9122.6112,9112.12544,8933.86752,8755.6096,3030.38464,3019.89888,1677.7216,1342.17728,7908.360191999999,2872.9597021664936,4,0.34,2,19.93,8.0,10.75
9164.55424,7434.40384,11324.6208,9342.81216,9604.95616,9447.66976,9416.21248,9405.72672,9227.4688,9206.49728,9332.3264,5263.85152,335.54432,671.08864,3019.89888,8415.171925333334,2665.554624365073,12,1.87,5,12.58,5.0,11.1
9468.64128,10538.1888,9563.01312,8849.98144,6543.11424,5756.68224,3628.07296,1342.17728,1342.17728,671.08864,7319.06048,9332.3264,10118.7584,9437.184,9175.04,8173.300394666667,2725.159702384021,5,8.57,3,22.97,8.0,143.74
8996.78208,10118.7584,10192.15872,9332.3264,9531.55584,9521.07008,9363.78368,9458.15552,9594.4704,9583.98464,9374.26944,9594.4704,9321.84064,9468.64128,9143.58272,8484.727466666667,2306.22061991597,22,8.91,3,19.69,4.0,20.18
9353.29792,10380.9024,9898.55744,9405.72672,9688.84224,9363.78368,9300.86912,9395.24096,9594.4704,9636.41344,9468.64128,9437.184,9133.09696,9709.81376,9447.66976,7908.360191999999,3184.1743287121435,30,67.71,3,28.22,4.0,27.26
9709.81376,10192.15872,9646.8992,9867.10016,9416.21248,9437.184,9384.7552,9196.01152,8818.52416,5179.96544,1006.63296,167.77216,1509.94944,3690.98752,10517.21728,8361.694549333335,2832.2057602230902,10,2.59,2,19.01,4.0,18.54
9468.64128,10317.98784,10013.9008,9552.52736,9342.81216,9216.98304,9468.64128,9426.69824,9688.84224,9101.63968,9175.04,8755.6096,9500.09856,4047.50336,1006.63296,8261.730304,2798.4308985110824,14,4.75,2,19.75,4.0,22.24
