t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,mean_throughput,stdv_throughput,optimal_point,optimal_error,adaptive_point,adaptive_error,ar_point,ar_error
8867.0,9339.0,9400.0,9133.0,9028.0,9410.0,9383.0,9141.0,9311.0,9435.0,9416.0,9384.0,9424.0,9417.0,9372.0,9314.3,147.38139864537408,4,1.39,2,2.27,4.0,1.01
8130.0,9396.0,9440.0,9206.0,9288.0,8816.0,9083.0,9274.0,7239.0,6445.0,9122.0,9013.0,6095.0,9420.0,9257.0,8437.766666666666,1292.5637749148868,4,7.17,3,11.62,4.0,11.9
8574.0,8529.0,9446.0,9180.0,9423.0,9310.0,9110.0,9388.0,8916.0,9382.0,9413.0,9241.0,9386.0,9446.0,9386.0,9235.266666666666,261.2680530710855,4,3.28,2,7.4,5.0,1.47
8786.0,9460.0,9394.0,9397.0,9370.0,9406.0,9377.0,9392.0,9428.0,7698.0,9443.0,9372.0,9398.0,9412.0,9392.0,9280.466666666667,328.7165682198301,4,0.23,2,1.7,4.0,1.29
7010.0,6594.0,8894.0,9475.0,8622.0,6923.0,9400.0,9413.0,9369.0,9284.0,9420.0,9283.0,9494.0,9337.0,9493.0,9025.4,764.3303212616912,5,6.97,2,24.63,9.0,4.69
9147.0,9219.0,9481.0,9384.0,9384.0,8846.0,9387.0,9353.0,9234.0,8075.0,9362.0,8649.0,8664.0,9343.0,9461.0,9245.166666666666,304.67163562687546,4,0.68,2,0.67,5.0,1.55
8739.0,8333.0,8433.0,3726.0,6943.0,9472.0,6317.0,6522.0,9369.0,9245.0,9349.0,9469.0,9428.0,9137.0,9166.0,8259.8,1674.9345738465925,9,4.11,2,3.34,14.0,1.33
5205.0,7631.0,9313.0,5615.0,8892.0,5942.0,9199.0,6102.0,6283.0,9208.0,9015.0,9347.0,9370.0,9391.0,9364.0,8380.0,1428.053173613177,5,6.17,9,26.1,5.0,9.17
8315.0,9444.0,9418.0,8486.0,9216.0,9393.0,9423.0,9307.0,7095.0,9413.0,8781.0,9293.0,9384.0,9030.0,9380.0,9121.0,587.665040648157,4,2.25,3,3.4,5.0,0.24
8144.0,6829.0,9444.0,9391.0,9151.0,9409.0,9383.0,9458.0,9372.0,9392.0,9408.0,9339.0,9435.0,9396.0,9364.0,9210.633333333333,505.6286175533272,4,8.24,4,2.25,5.0,7.28
8827.0,9022.0,9395.0,9372.0,9356.0,9384.0,9389.0,9318.0,9392.0,8698.0,9408.0,9291.0,8996.0,9420.0,9408.0,9269.0,212.87382804531578,4,1.24,2,3.72,4.0,47.65
6090.0,7283.0,7347.0,9438.0,9395.0,9357.0,9406.0,9089.0,9352.0,9427.0,9387.0,9325.0,8950.0,8968.0,9414.0,9103.366666666667,765.0147485869508,5,8.1,3,19.65,6.0,5.34
3995.0,9512.0,9376.0,9401.0,9388.0,9427.0,9362.0,9443.0,9452.0,9370.0,6710.0,9434.0,9391.0,9182.0,9191.0,9118.433333333332,1068.2505849388626,5,3.3,3,3.57,4.0,2.86
8077.0,9464.0,9392.0,9428.0,9302.0,9474.0,8929.0,9170.0,9288.0,9432.0,9360.0,9334.0,9425.0,9339.0,9331.0,9297.066666666668,272.3979849819418,4,2.22,3,1.41,4.0,1.06
7295.0,9191.0,8753.0,9415.0,8838.0,9261.0,9632.0,9315.0,9323.0,8507.0,6061.0,9569.0,9390.0,9382.0,9420.0,9023.166666666666,820.1295460000342,4,3.99,3,0.57,4.0,2.04
